Abelian_Adj	Abelian
Albanese_Adj	Albanese
Apollonian_Adj	Apollonian
Archimedean_Adj	Archimedean
Baire_Adj	Baire
Bayesian_Adj	Bayesian
Belgian_Adj	Belgian
Cartesian_Adj	Cartesian
Caustic_Adj	Caustic
Chinese_Adj	Chinese
Dutch_Adj	Dutch
English_Adj	English
Euclidean_Adj	Euclidean
Eulerian_Adj	Eulerian
Fritsch_Adj	Fritsch
Fuchsian_Adj	Fuchsian
Gaussian_Adj	Gaussian
German_Adj	German
Gray_Adj	Gray
Greek_Adj	Greek
Hermitian_Adj	Hermitian
Heronian_Adj	Heronian
Italian_Adj	Italian
Jacobian_Adj	Jacobian
Japanese_Adj	Japanese
Kleinian_Adj	Kleinian
Latin_Adj	Latin
Laurent_Adj	Laurent
Noetherian_Adj	Noetherian
Parisi_Adj	Parisi
Poldavian_Adj	Poldavian
Pythagorean_Adj	Pythagorean
Sasakian_Adj	Sasakian
Shallow_Adj	Shallow
Spanish_Adj	Spanish
Timed_Adj	Timed
Vitali_Adj	Vitali
Walrasian_Adj	Walrasian
'a-rational_Adj'	a-rational
abelian_Adj	abelian
able_Adj	able
above_Adj	above
absolute_Adj	absolute
absorbing_Adj	absorbing
abstract_Adj	abstract
absurd_Adj	absurd
abundant_Adj	abundant
academic_Adj	academic
acceptable_Adj	acceptable
accessible_Adj	accessible
acid_Adj	acid
active_Adj	active
acyclic_Adj	acyclic
adaptive_Adj	adaptive
additional_Adj	additional
additive_Adj	additive
adelic_Adj	adelic
adjoint_Adj	adjoint
adjugate_Adj	adjugate
administrative_Adj	administrative
admirable_Adj	admirable
advanced_Adj	advanced
affine_Adj	affine
affirmative_Adj	affirmative
aggregative_Adj	aggregative
algebraic_Adj	algebraic
algebraical_Adj	algebraical
algorithmic_Adj	algorithmic
aligned_Adj	aligned
alphamagic_Adj	alphamagic
alternant_Adj	alternant
alternative_Adj	alternative
ambient_Adj	ambient
ambitious_Adj	ambitious
amenable_Adj	amenable
amicable_Adj	amicable
amino_Adj	amino
amnestic_Adj	amnestic
amorphous_Adj	amorphous
amphichiral_Adj	amphichiral
ample_Adj	ample
'an-integral_Adj'	an-integral
analogous_Adj	analogous
analytic_Adj	analytic
antiderivative_Adj	antiderivative
antimatroid_Adj	antimatroid
antisymmetric_Adj	antisymmetric
aperiodic_Adj	aperiodic
applicable_Adj	applicable
appropriate_Adj	appropriate
approximate_Adj	approximate
arbitrary_Adj	arbitrary
archetypal_Adj	archetypal
'are-isomorphic_Adj'	are-isomorphic
arithmetic_Adj	arithmetic
arithmetical_Adj	arithmetical
artificial_Adj	artificial
artinian_Adj	artinian
assignable_Adj	assignable
associational_Adj	associational
associative_Adj	associative
astronomical_Adj	astronomical
asymmetric_Adj	asymmetric
asymptotic_Adj	asymptotic
atomic_Adj	atomic
attractive_Adj	attractive
autobiographical_Adj	autobiographical
autocatalytic_Adj	autocatalytic
automobile_Adj	automobile
automorphic_Adj	automorphic
autonomous_Adj	autonomous
auxiliary_Adj	auxiliary
average_Adj	average
aware_Adj	aware
axiomatic_Adj	axiomatic
backward_Adj	backward
bad_Adj	bad
balanced_Adj	balanced
banner_Adj	banner
barycentric_Adj	barycentric
base_Adj	base
basis_Adj	basis
beautiful_Adj	beautiful
behavioral_Adj	behavioral
beta_Adj	beta
'bi-invertible_Adj'	bi-invertible
bicircular_Adj	bicircular
bicomplete_Adj	bicomplete
bicyclic_Adj	bicyclic
big_Adj	big
bijective_Adj	bijective
bilinear_Adj	bilinear
bilinèar_Adj	bilinèar
bimagic_Adj	bimagic
bimonoidal_Adj	bimonoidal
binary_Adj	binary
binomial_Adj	binomial
biological_Adj	biological
bipartite_Adj	bipartite
birational_Adj	birational
biregular_Adj	biregular
blank_Adj	blank
bodily_Adj	bodily
boolean_Adj	boolean
bornological_Adj	bornological
bottom_Adj	bottom
bound_Adj	bound
bounded_Adj	bounded
braided_Adj	braided
brief_Adj	brief
cancellative_Adj	cancellative
cannibalistic_Adj	cannibalistic
canonical_Adj	canonical
canonizant_Adj	canonizant
capable_Adj	capable
cardinal_Adj	cardinal
careful_Adj	careful
cartesian_Adj	cartesian
cartographic_Adj	cartographic
categorical_Adj	categorical
catholic_Adj	catholic
cauchy_Adj	cauchy
celebrated_Adj	celebrated
cellular_Adj	cellular
center_Adj	center
central_Adj	central
centred_Adj	centred
certain_Adj	certain
cessary_Adj	cessary
chaotic_Adj	chaotic
characteristic_Adj	characteristic
chemical_Adj	chemical
chief_Adj	chief
chiral_Adj	chiral
'choice-decidable_Adj'	choice-decidable
chromatic_Adj	chromatic
'circle-connected_Adj'	circle-connected
circulant_Adj	circulant
circular_Adj	circular
circumscribed_Adj	circumscribed
classical_Adj	classical
clear_Adj	clear
close_Adj	close
closed_Adj	closed
closeness_Adj	closeness
coanalytic_Adj	coanalytic
coboundary_Adj	coboundary
cocomplete_Adj	cocomplete
coconstant_Adj	coconstant
cocountable_Adj	cocountable
coefficient_Adj	coefficient
cofinal_Adj	cofinal
coherent_Adj	coherent
cohomological_Adj	cohomological
collaborative_Adj	collaborative
color_Adj	color
colorable_Adj	colorable
colorful_Adj	colorful
combinant_Adj	combinant
combinatorial_Adj	combinatorial
common_commoner_Adj	common
communicational_Adj	communicational
commutant_Adj	commutant
commutative_Adj	commutative
compact_Adj	compact
comparable_Adj	comparable
comparametric_Adj	comparametric
compatible_Adj	compatible
complementary_Adj	complementary
complete_Adj	complete
complex_Adj	complex
complicated_Adj	complicated
component_Adj	component
composable_Adj	composable
composite_Adj	composite
compound_Adj	compound
concatenate_Adj	concatenate
concave_Adj	concave
concentric_Adj	concentric
conceptual_Adj	conceptual
concerned_Adj	concerned
concise_Adj	concise
concrete_Adj	concrete
concurrent_Adj	concurrent
conditional_Adj	conditional
conformable_Adj	conformable
conformal_Adj	conformal
confusing_Adj	confusing
congruent_Adj	congruent
conic_Adj	conic
conical_Adj	conical
conjugate_Adj	conjugate
conjunctive_Adj	conjunctive
connected_Adj	connected
connective_Adj	connective
connex_Adj	connex
consecutive_Adj	consecutive
conservative_Adj	conservative
consistent_Adj	consistent
constant_Adj	constant
constitutive_Adj	constitutive
constructible_Adj	constructible
constructive_Adj	constructive
continuous_Adj	continuous
contractible_Adj	contractible
contrary_Adj	contrary
contravariant_Adj	contravariant
convenient_Adj	convenient
conventional_Adj	conventional
convergent_Adj	convergent
converse_Adj	converse
convex_Adj	convex
cooperative_Adj	cooperative
coordinate_Adj	coordinate
coplanar_Adj	coplanar
coprime_Adj	coprime
core_Adj	core
coreflexive_Adj	coreflexive
corollar_Adj	corollar
corollary_Adj	corollary
correct_Adj	correct
corrective_Adj	corrective
correspond_Adj	correspond
corresponding_Adj	corresponding
cotangent_Adj	cotangent
cototient_Adj	cototient
countable_Adj	countable
counterfactual_Adj	counterfactual
covalent_Adj	covalent
covariant_Adj	covariant
covering_Adj	covering
credible_Adj	credible
critical_Adj	critical
cross_Adj	cross
crossed_Adj	crossed
crucial_Adj	crucial
crystalline_Adj	crystalline
cubic_Adj	cubic
cubical_Adj	cubical
cumulant_Adj	cumulant
cumulative_Adj	cumulative
curious_Adj	curious
current_Adj	current
curvilinear_Adj	curvilinear
customary_Adj	customary
cyclic_Adj	cyclic
cyclical_Adj	cyclical
cyclotomic_Adj	cyclotomic
decagonal_Adj	decagonal
decidable_Adj	decidable
decisional_Adj	decisional
decomposable_Adj	decomposable
decreasing_Adj	decreasing
deductive_Adj	deductive
deep_Adj	deep
defective_Adj	defective
deficient_Adj	deficient
definable_Adj	definable
definite_Adj	definite
definitive_Adj	definitive
degenerate_Adj	degenerate
deltoidal_Adj	deltoidal
dendroidal_Adj	dendroidal
dense_Adj	dense
denumerable_Adj	denumerable
dependent_Adj	dependent
derivable_Adj	derivable
derivative_Adj	derivative
derived_Adj	derived
descriptive_Adj	descriptive
desugar_Adj	desugar
detailed_Adj	detailed
determinant_Adj	determinant
deterministic_Adj	deterministic
devoid_Adj	devoid
diagonal_Adj	diagonal
diagonalizable_Adj	diagonalizable
dicyclic_Adj	dicyclic
die_Adj	die
different_Adj	different
differentiable_Adj	differentiable
differential_Adj	differential
difficult_Adj	difficult
digital_Adj	digital
dihedral_Adj	dihedral
dimensional_Adj	dimensional
dinatural_Adj	dinatural
direct_Adj	direct
directed_Adj	directed
directional_Adj	directional
discrete_Adj	discrete
discriminant_Adj	discriminant
disdyakis_Adj	disdyakis
disjoint_Adj	disjoint
disjunctive_Adj	disjunctive
distinct_Adj	distinct
distinguishing_Adj	distinguishing
distributive_Adj	distributive
divisible_Adj	divisible
divisorial_Adj	divisorial
doable_Adj	doable
dodecahedral_Adj	dodecahedral
double_Adj	double
downward_Adj	downward
dual_Adj	dual
dummy_Adj	dummy
dynamic_Adj	dynamic
dynamical_Adj	dynamical
early_Adj	early
easy_Adj	easy
edgeless_Adj	edgeless
effective_Adj	effective
efficient_Adj	efficient
eigenvalue_Adj	eigenvalue
eighth_Adj	eighth
electric_Adj	electric
electromagnetic_Adj	electromagnetic
electronic_Adj	electronic
elegant_Adj	elegant
elementary_Adj	elementary
elliptic_Adj	elliptic
elongated_Adj	elongated
empty_Adj	empty
endpoint_Adj	endpoint
enjoyable_Adj	enjoyable
enneagonal_Adj	enneagonal
enough_Adj	enough
enriched_Adj	enriched
entire_Adj	entire
enumerable_Adj	enumerable
equal_Adj	equal
equatior_Adj	equatior
equinumerous_Adj	equinumerous
equivalent_Adj	equivalent
equivariant_Adj	equivariant
essential_Adj	essential
euclidean_Adj	euclidean
evectant_Adj	evectant
even_Adj	even
evident_Adj	evident
exact_Adj	exact
excellent_Adj	excellent
exceptional_Adj	exceptional
exciting_Adj	exciting
exclusive_Adj	exclusive
exhaustive_Adj	exhaustive
existential_Adj	existential
expansive_Adj	expansive
explicit_Adj	explicit
exponent_Adj	exponent
exponential_Adj	exponential
express_Adj	express
expressible_Adj	expressible
extended_Adj	extended
extensional_Adj	extensional
exterior_Adj	exterior
extra_Adj	extra
extraordinary_Adj	extraordinary
extremal_Adj	extremal
extreme_Adj	extreme
fair_Adj	fair
fairy_Adj	fairy
faithful_Adj	faithful
false_Adj	false
familiar_Adj	familiar
famous_Adj	famous
feasible_Adj	feasible
fibrant_Adj	fibrant
final_Adj	final
fine_Adj	fine
'finite-_Adj'	finite-
finite_Adj	finite
finitedimensional_Adj	finitedimensional
first_Adj	first
fixed_Adj	fixed
flabby_Adj	flabby
flat_Adj	flat
flexible_Adj	flexible
'for-trigonometric_Adj'	for-trigonometric
forgetful_Adj	forgetful
formal_Adj	formal
former_Adj	former
forthcoming_Adj	forthcoming
fortiori_Adj	fortiori
fortunate_Adj	fortunate
forward_Adj	forward
foundational_Adj	foundational
fourth_Adj	fourth
fractional_Adj	fractional
'fractions-over-a-principal_Adj'	fractions-over-a-principal
free_Adj	free
frelative_Adj	frelative
fresh_Adj	fresh
frugal_Adj	frugal
fruitful_Adj	fruitful
full_Adj	full
functional_Adj	functional
functorial_Adj	functorial
fundamental_Adj	fundamental
further_Adj	further
futile_Adj	futile
future_Adj	future
fuzzy_Adj	fuzzy
game_Adj	game
general_Adj	general
generalized_Adj	generalized
generic_Adj	generic
generous_Adj	generous
genuine_Adj	genuine
geodesic_Adj	geodesic
geodetic_Adj	geodetic
geological_Adj	geological
geometric_Adj	geometric
geometrical_Adj	geometrical
global_Adj	global
golden_Adj	golden
good_Adj	good
graceful_Adj	graceful
graded_Adj	graded
gradual_Adj	gradual
graphic_Adj	graphic
gratuitous_Adj	gratuitous
gravitational_Adj	gravitational
great_Adj	great
greatest_Adj	greatest
groupoidal_Adj	groupoidal
half_Adj	half
handed_Adj	handed
happy_Adj	happy
hard_Adj	hard
harmonic_Adj	harmonic
heavy_Adj	heavy
helpful_Adj	helpful
hendecagonal_Adj	hendecagonal
heptagonal_Adj	heptagonal
hereditary_Adj	hereditary
hermitian_Adj	hermitian
heterogeneous_Adj	heterogeneous
hexagonal_Adj	hexagonal
hexahedral_Adj	hexahedral
hexecontahedral_Adj	hexecontahedral
high_Adj	high
holomorphic_Adj	holomorphic
holonomic_Adj	holonomic
homogeneous_Adj	homogeneous
homological_Adj	homological
homologous_Adj	homologous
homothetic_Adj	homothetic
homotopic_Adj	homotopic
homotopical_Adj	homotopical
honest_Adj	honest
horizontal_Adj	horizontal
humanitarian_Adj	humanitarian
hybrid_Adj	hybrid
hyperbolic_Adj	hyperbolic
hyperfactorial_Adj	hyperfactorial
hyperoctahedral_Adj	hyperoctahedral
hyperperfect_Adj	hyperperfect
hypohamiltonian_Adj	hypohamiltonian
hypothetical_Adj	hypothetical
icosahedral_Adj	icosahedral
icosidodecahedral_Adj	icosidodecahedral
icositetrahedral_Adj	icositetrahedral
ideal_Adj	ideal
idempotent_Adj	idempotent
identical_Adj	identical
illustrative_Adj	illustrative
imaginary_Adj	imaginary
immediate_Adj	immediate
imperfect_Adj	imperfect
implicit_Adj	implicit
important_Adj	important
imposing_Adj	imposing
impossible_Adj	impossible
impredicative_Adj	impredicative
impressive_Adj	impressive
improper_Adj	improper
'in-one-indeterminate_Adj'	in-one-indeterminate
'in-transitive_Adj'	in-transitive
inaccessible_Adj	inaccessible
incompatible_Adj	incompatible
inconsistent_Adj	inconsistent
indecomposable_Adj	indecomposable
indefinite_Adj	indefinite
independent_Adj	independent
indescribable_Adj	indescribable
indeterminate_Adj	indeterminate
indexed_Adj	indexed
indispensable_Adj	indispensable
individual_Adj	individual
induced_Adj	induced
inductive_Adj	inductive
ineffable_Adj	ineffable
inexperienced_Adj	inexperienced
infinite_Adj	infinite
informal_Adj	informal
informational_Adj	informational
ingenious_Adj	ingenious
inhabit_Adj	inhabit
inhabited_Adj	inhabited
initial_Adj	initial
injective_Adj	injective
inner_Adj	inner
inscribed_Adj	inscribed
insightful_Adj	insightful
instant_Adj	instant
integer_Adj	integer
